Points	Interferogram
869	-3.83E-05
870	-3.77E-05
871	-3.72E-05
872	-3.67E-05
873	-3.62E-05
874	-3.56E-05
875	-3.51E-05
876	-3.48E-05
877	-3.43E-05
878	-3.37E-05
879	-3.33E-05
880	-3.29E-05
881	-3.26E-05
882	-3.21E-05
883	-3.17E-05
884	-3.13E-05
885	-3.10E-05
886	-3.05E-05
887	-3.02E-05
888	-2.99E-05
889	-2.96E-05
890	-2.91E-05
891	-2.87E-05
892	-2.86E-05
893	-2.83E-05
894	-2.78E-05
895	-2.74E-05
896	-2.73E-05
897	-2.71E-05
898	-2.66E-05
899	-2.63E-05
900	-2.62E-05
901	-2.60E-05
902	-2.56E-05
903	-2.54E-05
904	-2.54E-05
905	-2.52E-05
906	-2.50E-05
907	-2.47E-05
908	-2.48E-05
909	-2.49E-05
910	-2.47E-05
911	-2.46E-05
912	-2.47E-05
913	-2.49E-05
914	-2.51E-05
915	-2.51E-05
916	-2.53E-05
917	-2.57E-05
918	-2.60E-05
919	-2.63E-05
920	-2.67E-05
921	-2.73E-05
922	-2.77E-05
923	-2.83E-05
924	-2.89E-05
925	-2.96E-05
926	-3.04E-05
927	-3.11E-05
928	-3.18E-05
929	-3.27E-05
930	-3.37E-05
931	-3.46E-05
932	-3.54E-05
933	-3.65E-05
934	-3.75E-05
935	-3.86E-05
936	-3.96E-05
937	-4.07E-05
938	-4.18E-05
939	-4.29E-05
940	-4.40E-05
941	-4.52E-05
942	-4.61E-05
943	-4.73E-05
944	-4.84E-05
945	-4.95E-05
946	-5.04E-05
947	-5.14E-05
948	-5.26E-05
949	-5.36E-05
950	-5.43E-05
951	-5.51E-05
952	-5.62E-05
953	-5.71E-05
954	-5.77E-05
955	-5.84E-05
956	-5.92E-05
957	-6.00E-05
958	-6.04E-05
959	-6.10E-05
960	-6.15E-05
961	-6.21E-05
962	-6.25E-05
963	-6.29E-05
964	-6.32E-05
965	-6.37E-05
966	-6.39E-05
967	-6.42E-05
968	-6.44E-05
969	-6.48E-05
970	-6.49E-05
971	-6.51E-05
972	-6.53E-05
973	-6.55E-05
974	-6.57E-05
975	-6.59E-05
976	-6.61E-05
977	-6.62E-05
978	-6.63E-05
979	-6.66E-05
980	-6.68E-05
981	-6.71E-05
982	-6.72E-05
983	-6.74E-05
984	-6.77E-05
985	-6.81E-05
986	-6.83E-05
987	-6.86E-05
988	-6.90E-05
989	-6.93E-05
990	-6.96E-05
991	-7.01E-05
992	-7.06E-05
993	-7.10E-05
994	-7.13E-05
995	-7.18E-05
996	-7.24E-05
997	-7.29E-05
998	-7.32E-05
999	-7.37E-05
1000	-7.43E-05
1001	-7.49E-05
1002	-7.53E-05
1003	-7.58E-05
1004	-7.62E-05
1005	-7.69E-05
1006	-7.73E-05
1007	-7.78E-05
1008	-7.81E-05
1009	-7.86E-05
1010	-7.91E-05
1011	-7.96E-05
1012	-7.98E-05
1013	-8.02E-05
1014	-8.07E-05
1015	-8.12E-05
1016	-8.12E-05
1017	-8.16E-05
1018	-8.20E-05
1019	-8.24E-05
1020	-8.24E-05
1021	-8.28E-05
1022	-8.31E-05
1023	-8.34E-05
1024	-8.34E-05
1025	-8.38E-05
1026	-8.40E-05
1027	-8.44E-05
1028	-8.43E-05
1029	-8.47E-05
1030	-8.49E-05
1031	-8.53E-05
1032	-8.54E-05
1033	-8.57E-05
1034	-8.58E-05
1035	-8.63E-05
1036	-8.66E-05
1037	-8.68E-05
1038	-8.69E-05
1039	-8.75E-05
1040	-8.78E-05
1041	-8.81E-05
1042	-8.84E-05
1043	-8.88E-05
1044	-8.91E-05
1045	-8.95E-05
1046	-8.99E-05
1047	-9.04E-05
1048	-9.07E-05
1049	-9.10E-05
1050	-9.14E-05
1051	-9.20E-05
1052	-9.23E-05
1053	-9.25E-05
1054	-9.28E-05
1055	-9.32E-05
1056	-9.35E-05
1057	-9.38E-05
1058	-9.41E-05
1059	-9.42E-05
1060	-9.44E-05
1061	-9.46E-05
1062	-9.49E-05
1063	-9.48E-05
1064	-9.47E-05
1065	-9.49E-05
1066	-9.50E-05
1067	-9.47E-05
1068	-9.45E-05
1069	-9.45E-05
1070	-9.45E-05
1071	-9.40E-05
1072	-9.36E-05
1073	-9.35E-05
1074	-9.34E-05
1075	-9.27E-05
1076	-9.21E-05
1077	-9.18E-05
1078	-9.18E-05
1079	-9.11E-05
1080	-9.02E-05
1081	-8.98E-05
1082	-8.97E-05
1083	-8.91E-05
1084	-8.82E-05
1085	-8.77E-05
1086	-8.75E-05
1087	-8.70E-05
1088	-8.62E-05
1089	-8.58E-05
1090	-8.55E-05
1091	-8.51E-05
1092	-8.46E-05
1093	-8.42E-05
1094	-8.39E-05
1095	-8.38E-05
1096	-8.36E-05
1097	-8.33E-05
1098	-8.29E-05
1099	-8.30E-05
1100	-8.32E-05
1101	-8.31E-05
1102	-8.29E-05
1103	-8.30E-05
1104	-8.34E-05
1105	-8.37E-05
1106	-8.37E-05
1107	-8.39E-05
1108	-8.43E-05
1109	-8.49E-05
1110	-8.52E-05
1111	-8.54E-05
1112	-8.60E-05
1113	-8.68E-05
1114	-8.72E-05
1115	-8.74E-05
1116	-8.81E-05
1117	-8.91E-05
1118	-8.96E-05
1119	-8.99E-05
1120	-9.06E-05
1121	-9.15E-05
1122	-9.22E-05
1123	-9.25E-05
1124	-9.32E-05
1125	-9.39E-05
1126	-9.46E-05
1127	-9.51E-05
1128	-9.57E-05
1129	-9.63E-05
1130	-9.69E-05
1131	-9.74E-05
1132	-9.80E-05
1133	-9.84E-05
1134	-9.91E-05
1135	-9.95E-05
1136	-9.99E-05
1137	-1.00E-04
1138	-1.01E-04
1139	-1.01E-04
1140	-1.02E-04
1141	-1.02E-04
1142	-1.02E-04
1143	-1.03E-04
1144	-1.03E-04
1145	-1.04E-04
1146	-1.04E-04
1147	-1.04E-04
1148	-1.05E-04
1149	-1.05E-04
1150	-1.06E-04
1151	-1.06E-04
1152	-1.06E-04
1153	-1.07E-04
1154	-1.07E-04
1155	-1.08E-04
1156	-1.08E-04
1157	-1.08E-04
1158	-1.09E-04
1159	-1.09E-04
1160	-1.10E-04
1161	-1.10E-04
1162	-1.11E-04
1163	-1.11E-04
1164	-1.12E-04
1165	-1.12E-04
1166	-1.13E-04
1167	-1.13E-04
1168	-1.13E-04
1169	-1.14E-04
1170	-1.14E-04
1171	-1.15E-04
1172	-1.15E-04
1173	-1.16E-04
1174	-1.16E-04
1175	-1.16E-04
1176	-1.17E-04
1177	-1.17E-04
1178	-1.17E-04
1179	-1.18E-04
1180	-1.18E-04
1181	-1.18E-04
1182	-1.19E-04
1183	-1.19E-04
1184	-1.18E-04
1185	-1.19E-04
1186	-1.19E-04
1187	-1.19E-04
1188	-1.19E-04
1189	-1.19E-04
1190	-1.19E-04
1191	-1.19E-04
1192	-1.19E-04
1193	-1.19E-04
1194	-1.19E-04
1195	-1.19E-04
1196	-1.19E-04
1197	-1.19E-04
1198	-1.19E-04
1199	-1.19E-04
1200	-1.19E-04
1201	-1.19E-04
1202	-1.19E-04
1203	-1.19E-04
1204	-1.19E-04
1205	-1.19E-04
1206	-1.19E-04
1207	-1.19E-04
1208	-1.19E-04
1209	-1.19E-04
1210	-1.19E-04
1211	-1.19E-04
1212	-1.19E-04
1213	-1.20E-04
1214	-1.20E-04
1215	-1.20E-04
1216	-1.20E-04
1217	-1.21E-04
1218	-1.21E-04
1219	-1.21E-04
1220	-1.21E-04
1221	-1.22E-04
1222	-1.22E-04
1223	-1.22E-04
1224	-1.23E-04
1225	-1.23E-04
1226	-1.24E-04
1227	-1.23E-04
1228	-1.24E-04
1229	-1.24E-04
1230	-1.25E-04
1231	-1.25E-04
1232	-1.25E-04
1233	-1.25E-04
1234	-1.25E-04
1235	-1.25E-04
1236	-1.25E-04
1237	-1.25E-04
1238	-1.25E-04
1239	-1.25E-04
1240	-1.25E-04
1241	-1.25E-04
1242	-1.25E-04
1243	-1.24E-04
1244	-1.24E-04
1245	-1.24E-04
1246	-1.23E-04
1247	-1.23E-04
1248	-1.23E-04
1249	-1.22E-04
1250	-1.21E-04
1251	-1.21E-04
1252	-1.20E-04
1253	-1.19E-04
1254	-1.19E-04
1255	-1.18E-04
1256	-1.17E-04
1257	-1.16E-04
1258	-1.16E-04
1259	-1.15E-04
1260	-1.14E-04
1261	-1.13E-04
1262	-1.12E-04
1263	-1.12E-04
1264	-1.11E-04
1265	-1.10E-04
1266	-1.09E-04
1267	-1.09E-04
1268	-1.08E-04
1269	-1.07E-04
1270	-1.07E-04
1271	-1.07E-04
1272	-1.06E-04
1273	-1.05E-04
1274	-1.05E-04
1275	-1.05E-04
1276	-1.05E-04
1277	-1.04E-04
1278	-1.04E-04
1279	-1.04E-04
1280	-1.04E-04
1281	-1.04E-04
1282	-1.04E-04
1283	-1.04E-04
1284	-1.05E-04
1285	-1.05E-04
